0;Australia
1;Austria
2;Belgium
3;Canada
4;Chile
5;Colombia
6;Costa Rica
7;Czech Republic
8;Denmark
9;Estonia
10;Finland
11;France
12;Germany
13;Greece
14;Hungary
15;Iceland
16;Ireland
17;Italy
18;Japan
19;Korea
20;Latvia
21;Lithuania
22;Luxembourg
23;Mexico
24;Netherlands
25;New Zealand
26;Norway
27;Poland
28;Portugal
29;Slovak Republic
30;Slovenia
31;Spain
32;Sweden
33;Switzerland
34;Turkey
35;United Kingdom
36;United States
37;Argentina
38;Brazil
39;Bulgaria
40;China
41;Croatia
42;Cyprus
43;India
44;Malta
45;North Macedonia
46;Peru
47;Serbia
